url_length,hostname_length,path_length,query_length,dot_count,hyphen_count,underscore_count,slash_count,question_mark_count,equal_count,at_count,digit_count,special_character_count,https,contains_ip,subdomain_count,suspicious_word_count,has_login,has_verify,has_account,has_password,has_payment,has_otp,has_kyc,label
31,22,1,0,2,1,0,3,0,0,0,0,7,1,0,1,1,0,0,0,0,0,0,0,1
28,14,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
33,26,0,0,2,0,0,2,0,0,0,6,5,0,0,1,0,0,0,0,0,0,0,0,1
19,11,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
27,9,10,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1
40,27,5,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
22,9,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
43,12,23,0,1,0,0,5,0,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,1
34,20,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
55,14,13,19,3,0,0,3,1,1,0,7,9,1,0,1,0,0,0,0,0,0,0,0,1
31,22,1,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
20,12,0,0,1,1,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
47,15,7,16,2,0,0,3,1,2,0,1,10,1,0,1,0,0,0,0,0,0,0,0,0
31,6,7,9,1,0,0,3,1,1,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0
26,11,7,0,1,1,0,3,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,1
36,13,5,9,1,0,0,3,1,1,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0
15,7,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
24,11,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
60,37,11,3,2,1,0,3,1,1,0,2,9,1,0,1,0,0,0,0,0,0,0,0,1
43,30,5,0,2,0,0,3,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
27,19,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
44,12,7,16,1,1,0,3,1,2,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0
73,64,1,0,2,8,0,3,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,1
32,23,1,0,2,0,0,3,0,0,0,3,6,1,0,1,0,0,0,0,0,0,0,0,1
43,11,7,16,2,0,0,3,1,2,0,1,10,1,0,1,0,0,0,0,0,0,0,0,0
45,31,6,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
38,12,13,4,1,0,0,4,1,1,0,3,8,1,0,0,0,0,0,0,0,0,0,0,1
40,7,25,0,1,1,0,5,0,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,1
78,20,50,0,2,1,4,6,0,0,0,3,14,1,0,0,0,0,0,0,0,0,0,0,1
29,20,1,0,2,0,0,3,0,0,0,6,6,1,0,1,0,0,0,0,0,0,0,0,1
43,30,5,0,2,1,0,3,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,1
39,30,1,0,2,0,0,3,0,0,0,3,6,1,0,1,0,0,0,0,0,0,0,0,1
231,22,13,187,2,0,0,3,1,2,0,32,10,1,0,1,0,0,0,0,0,0,0,0,1
26,19,0,0,2,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1
28,21,0,0,2,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1
31,18,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
48,34,6,0,2,2,0,3,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1
45,13,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
24,10,6,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
44,12,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
40,15,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
37,12,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
35,10,7,9,1,0,0,3,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
39,7,7,16,1,0,0,3,1,2,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
21,8,5,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
40,31,1,0,2,1,0,3,0,0,0,2,7,1,0,1,0,0,0,0,0,0,0,0,1
16,8,0,0,1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
